ID,RA,DEC,Field,FWHM,ISOarea,KRON_RADIUS,MU_MAX,nDet_PStotal,PhotoFlagDet,CLASS_STAR,u_PStotal,J0378_PStotal,J0395_PStotal,J0410_PStotal,J0430_PStotal,g_PStotal,J0515_PStotal,r_PStotal,J0660_PStotal,i_PStotal,J0861_PStotal,z_PStotal,e_u_PStotal,e_J0378_PStotal,e_J0395_PStotal,e_J0410_PStotal,e_J0430_PStotal,e_g_PStotal,e_J0515_PStotal,e_r_PStotal,e_J0660_PStotal,e_i_PStotal,e_J0861_PStotal,e_z_PStotal,feh_predict
b'iDR3.SPLUS-n14s03.023094 ',152.8181274669201,-17.691006662063717,b'SPLUS-n14s03 ',2.1624088,525,2.5470395,10.630968,12.0,0,0.98556316,16.675,16.575087,16.565655,16.527618,16.304626,15.712595,15.602545,14.579465,14.0418,14.135739,13.788973,13.767706,0.008367871,0.010959222,0.016197262,0.013490986,0.01168062,0.0036377683,0.006542854,0.0019118824,0.0017056591,0.0015655286,0.0022590514,0.0016148265,-0.058912974
b'iDR3.HYDRA-0077.084865   ',150.3833525981921,-33.04326108927795,b'HYDRA-0077   ',2.0607584,271,2.7454164,12.111699,12.0,0,0.9744056,15.377505,15.103262,15.133448,15.320404,15.284002,15.461737,15.1573105,15.294937,14.924424,15.239864,15.167364,15.103933,0.0041474504,0.0051319078,0.0074203094,0.006743164,0.0062654694,0.003002383,0.005049821,0.0025884358,0.002551199,0.0026570049,0.0043973643,0.0031603232,-0.059050225
b'iDR3.SPLUS-s23s45.020422 ',352.25183229093045,-29.77943600230389,b'SPLUS-s23s45 ',2.044366,246,2.8794162,11.472648,12.0,0,0.9949884,15.014418,15.0137825,14.86295,15.40941,15.349426,15.492199,15.61466,15.360847,15.001359,15.375683,15.355514,15.372553,0.0036281033,0.005232113,0.006912789,0.007903258,0.0074264407,0.0033800846,0.0068050027,0.0027771622,0.0027179983,0.0028790685,0.005049378,0.0038802992,-0.057255477
b'iDR3.SPLUS-n18s18.000089 ',174.85074360973368,-23.627453015369365,b'SPLUS-n18s18 ',2.552651,252,2.627111,10.996559,12.0,0,0.97272193,19.206873,18.91611,18.565432,17.605415,16.900711,16.123627,16.05058,15.496835,14.925963,14.985117,14.378416,14.279529,0.030095164,0.03718928,0.04577469,0.022940971,0.014658539,0.004242254,0.0077724964,0.002779395,0.0024901687,0.002253219,0.0029221291,0.0019664422,0.2070138
b'iDR3.HYDRA-0049.043611   ',149.6811639194094,-29.463706851408396,b'HYDRA-0049   ',3.168911,395,3.0581338,11.737776,12.0,0,0.8713998,16.499258,16.07152,15.84794,15.5683155,15.472755,15.513618,15.65655,15.418391,14.922369,15.678785,14.766943,15.023354,0.0067930445,0.007799911,0.009739173,0.0072659985,0.0066586416,0.002987191,0.00610634,0.0026267627,0.0030067419,0.003147013,0.0036072289,0.0028952195,0.050466333
b'iDR3.SPLUS-s26s50.002280 ',319.5178198321214,-34.22870112817704,b'SPLUS-s26s50 ',2.2525218,245,2.9232867,12.185197,12.0,0,0.99263054,15.688907,15.642181,15.974881,16.06849,15.877293,16.180721,16.262272,15.903326,15.288493,15.884396,15.512299,15.861019,0.005097972,0.0066768196,0.010637249,0.010216351,0.009255345,0.004519814,0.009045831,0.003455476,0.003104158,0.0034569358,0.0050895605,0.0041131326,0.004537035
b'iDR3.SPLUS-n07s41.026589 ',205.91016519674625,-8.234371065828142,b'SPLUS-n07s41 ',3.3731456,194,3.209087,12.5739,12.0,0,0.9915205,15.942299,15.794027,15.686374,15.856902,15.948679,15.94547,15.914673,15.770126,15.452086,15.772181,15.619708,15.696314,0.005493663,0.007949956,0.010620637,0.009578522,0.009578453,0.0040983115,0.0075591253,0.0032521451,0.0032415562,0.0035002416,0.0060131866,0.0045240466,0.012548562
b'iDR3.SPLUS-n15s05.030347 ',156.19240356520726,-18.640259406430125,b'SPLUS-n15s05 ',14.521703,138,3.837694,10.72244,12.0,3,0.9966479,13.979157,14.111893,13.513956,14.429493,13.812301,12.277587,14.090717,13.436792,11.47743,14.596424,14.9057865,14.595655,0.0023457687,0.0034884429,0.0037125463,0.0050783996,0.0037088247,0.0007822407,0.00353299,0.0011593059,0.0005376379,0.0020410556,0.004122773,0.0025074475,-0.2511401
b'iDR3.STRIPE82-0019.044602',12.50586461795442,0.0344992810446802,b'STRIPE82-0019',2.6031578,565,2.8199565,11.66776,12.0,2,0.99224013,19.283854,19.421885,19.369892,18.114164,17.71727,16.457973,16.222387,14.962698,14.0328665,14.322019,13.835772,13.989097,0.038403906,0.06611084,0.097804286,0.031948335,0.022692574,0.0047748927,0.008953317,0.0022494344,0.0016735367,0.0017044091,0.002265072,0.0017835262,0.1986301
b'iDR3.STRIPE82-0154.047956',346.99773847816675,1.352716401874542,b'STRIPE82-0154',2.0965233,209,2.9600408,12.183438,12.0,0,0.9995708,17.746775,17.356304,17.30188,16.882708,16.779884,16.481216,16.262306,16.024363,15.755422,15.882215,15.84936,15.822377,0.013917895,0.018092101,0.033764817,0.02787244,0.01562837,0.0052145286,0.011814131,0.0040320847,0.003920407,0.0036366216,0.006231242,0.004537035,0.12092562
b'iDR3.STRIPE82-0105.074540',312.82152469985664,0.0357670444400493,b'STRIPE82-0105',3.5176797,236,3.1853678,13.152878,12.0,0,0.9773044,18.28603,18.273327,17.753134,16.641926,16.910269,16.367811,16.4051,16.01398,15.701316,15.977158,15.4266205,15.035553,0.019842917,0.02814625,0.029104097,0.012625211,0.014242326,0.004636831,0.009825493,0.003626064,0.0039038062,0.0038442472,0.007175781,0.0029036375,0.21658733
