Field,teff,logg,alpha_m,feh,TEFF,TEFF_PredictDecoded,alpha_predict,LOGG_Predict,FEH_Predict,colors,sizes
SPLUS-s02s17_000004762,5939.09,4.121,0.054742,-0.183,0.057807105868815434,5776.025,0.2041773,4.0462437,-0.39994925,0.4603868489642875,-0.2805507745266773
SPLUS-n01s20_000008763,5128.7,4.685,0.157903,-0.352,-0.6707512226697352,5293.98,0.1511836,4.536907,0.06473195,0.27510402853354066,0.6901893287435446
SPLUS-n02n26_000010995,5405.07,4.331,0.423013,-0.375,-0.4222885500575373,5529.193,0.28130472,4.40848,-0.25961155,0.3382916457085372,0.08089500860585197
SPLUS-s02s10_000004604,5714.07,4.227,0.349883,-0.73,-0.14449079401611087,5703.463,0.32769892,4.241783,-0.6499482,0.4089395948603044,-0.09810671256454384
SPLUS-n01s23_000000451,6079.06,4.19,0.137623,-1.234,0.18364319620253244,6054.6094,0.12085151,4.1459913,-1.1167344,0.49238876949106053,-0.16179001721170394
SPLUS-s02s10_000004524,6077.53,4.355,0.020406,-0.558,0.18226769275028776,5850.916,0.20184155,4.1317534,-0.5626283,0.49203895925739627,0.12220309810671282
SPLUS-n01s28_000004199,5710.38,3.863,-0.017447,-0.028,-0.14780818469505164,5778.685,0.07150645,4.1212707,0.019260876,0.408095934884997,-0.7246127366609292
SPLUS-n01s21_000008768,6129.06,4.116,-0.168194,-0.305,0.22859428941311943,6142.806,0.15963061,4.118052,-1.337377,0.5038204764735472,-0.289156626506025
SPLUS-n02n26_000001467,5777.55,4.309,0.360183,-0.491,-0.08742088607594933,5764.997,0.30445242,4.194856,-0.52869976,0.42345329004526955,0.04302925989672968
SPLUS-s03s03_000006708,5328.58,4.583,0.091317,0.062,-0.49105473245109277,5270.104,0.19467407,4.1161747,-0.19629517,0.32080342036672926,0.5146299483648882
SPLUS-n02n27_000007971,5700.27,4.613,0.130833,-0.408,-0.15689729574223232,5688.318,0.24352625,4.231709,-0.4614011,0.4057844437331382,0.5662650602409638
