#MObsID& ObsID& Target& Obs.Date& LMJD& MJD& PlanId& spId& FiberId& Band& RAdeg& DEdeg& snr& objType& magType& mag1& mag2& mag3& mag4& mag5& mag6& mag7& tsource& FiberType& tfrom& tcomment& offsets& offsetsv& RAOdeg& DEOdeg& Tefflasp& e_Tefflasp& logglasp& e_logglasp& [Fe/H]& e_[Fe/H]& vsini& RVb0& e_RVb0& RVb1& e_RVb1& f_RVb& RVr0& e_RVr0& RVr1& e_RVr1& f_RVr& RVbr0& e_RVbr0& RVbr1& e_RVbr1& f_RVbr& RVlasp0& e_RVlasp0& RVlasp1& e_RVlasp1& coadd& alphacnn& Teffcnn& loggcnn& [Fe/H]cnn& [C/Fe]& [N/Fe]& [O/Fe]& [Mg/Fe]& [Al/Fe]& [Si/Fe]& [S/Fe]& [Ca/Fe]& [Ti/Fe]& [Cr/Fe]& [Ni/Fe]& [Cu/Fe]& GaiaDR2& Gmag& SPLUS-IDs& RAJ2000& DEJ2000& mag_psf_u& emag_psf_u& s2n_psf_u& CLASS_STAR_u& mag_psf_J0378& emag_psf_J0378& s2n_psf_J0378& CLASS_STAR_J0378& mag_psf_J0395& emag_psf_J0395& s2n_psf_J0395& CLASS_STAR_J0395& mag_psf_J0410& emag_psf_J0410& s2n_psf_J0410& CLASS_STAR_J0410& mag_psf_J0430& emag_psf_J0430& s2n_psf_J0430& CLASS_STAR_J0430& mag_psf_g& emag_psf_g& s2n_psf_g& CLASS_STAR_g& mag_psf_J0515& emag_psf_J0515& s2n_psf_J0515& CLASS_STAR_J0515& mag_psf_r& emag_psf_r& s2n_psf_r& CLASS_STAR_r& mag_psf_J0660& emag_psf_J0660& s2n_psf_J0660& CLASS_STAR_J0660& mag_psf_i& emag_psf_i& s2n_psf_i& CLASS_STAR_i& mag_psf_J0861& emag_psf_J0861& s2n_psf_J0861& CLASS_STAR_J0861& mag_psf_z& emag_psf_z& s2n_psf_z& CLASS_STAR_z& EBV_SCH
  589602184B &  589602184 &  J233844.52-015122.3 &  2017-09-29 &  58026 &  58025 &  HIP11715101 &  2 &  184 &  B &  354.68551 &  -1.8562171 &  66.34 &  Star &  gri &  13.64 &  13.56 &  13.71 &  99.0 &  99.0 &  99.0 &  99.0 &  PANSTARR &  Obj &  PANSTARR &  - &  0 &  0.0 &  354.6855076 &  -1.8562171 &  5780.02 &  37.72 &  4.199 &  0.039 &  -0.464 &  0.025 &  -9999.0 &  -8.88 &  0.49 &  -3.18 &  0.95 &  0 &  -5.47 &  0.55 &  -0.4 &  1.28 &  0 &  -8.47 &  0.58 &  -2.87 &  0.95 &  0 &  -9.82 &  0.83 &  -2.67 &  0.94 &  1 &  0.014 &  5778.14 &  4.327 &  -0.328 &  0.02842 &  0.25352 &  -9999.0 &  0.04902 &  -9999.0 &  -0.01506 &  -9999.0 &  0.13247 &  -9999.0 &  -9999.0 &  -0.00297 &  -9999.0 &  2640841529065541760 &  13.26951& SPLUS-s02s23_000000955& 354.68545532& -1.85630333& 15.01453& 0.00700& 154.71428& 1.00& 14.64653& 0.00700& 154.71428& 1.00& 14.58852& 0.00900& 120.33334& 1.00& 14.11853& 0.00700& 154.71428& 1.00& 14.04753& 0.00600& 180.50000& 1.00& 13.76753& 0.00500& 216.60001& 1.00& 13.59553& 0.00600& 180.50000& 1.00& 13.30540& 0.00500& 216.60001& 1.00& 13.27640& 0.00700& 154.71428& 1.00& 13.15562& 0.00500& 216.60001& 1.00& 13.13994& 0.00600& 180.50000& 1.00& 13.12994& 0.00700& 154.71428& 1.00& -999
  589602185B &  589602185 &  J233823.19-015922.2 &  2017-09-29 &  58026 &  58025 &  HIP11715101 &  2 &  185 &  B &  354.59664 &  -1.98952 &  47.96 &  Star &  gri &  13.11 &  13.56 &  13.52 &  99.0 &  99.0 &  99.0 &  99.0 &  PANSTARR &  Obj &  PANSTARR &  - &  0 &  0.0 &  354.5966434 &  -1.98952 &  5753.16 &  38.33 &  4.054 &  0.043 &  -0.064 &  0.026 &  -9999.0 &  -24.8 &  0.68 &  -19.1 &  1.07 &  0 &  -23.67 &  0.92 &  -18.6 &  1.48 &  0 &  -24.52 &  0.9 &  -18.92 &  1.18 &  0 &  -25.91 &  0.83 &  -18.76 &  0.94 &  1 &  0.0 &  5805.47 &  4.206 &  0.014 &  0.03332 &  0.22013 &  -9999.0 &  0.0119 &  -9999.0 &  0.01152 &  -9999.0 &  -0.01401 &  -9999.0 &  -9999.0 &  0.03999 &  -9999.0 &  2640814694109851648 &  12.721677& SPLUS-s02s23_000000398& 354.59674072& -1.98966408& 14.59844& 0.00600& 180.50000& 1.00& 14.24744& 0.00700& 154.71428& 1.00& 14.14344& 0.00700& 154.71428& 1.00& 13.59617& 0.00600& 180.50000& 1.00& 13.52717& 0.00600& 180.50000& 1.00& 13.21817& 0.00500& 216.60001& 1.00& 13.02917& 0.00600& 180.50000& 1.00& 12.77164& 0.00800& 135.37500& 1.00& 12.73564& 0.00700& 154.71428& 1.00& -999& -999& -999& -999& 12.61175& 0.00700& 154.71428& 1.00& 12.60575& 0.00600& 180.50000& 1.00& -999
  589602186B &  589602186 &  J233923.71-015452.6 &  2017-09-29 &  58026 &  58025 &  HIP11715101 &  2 &  186 &  B &  354.84882 &  -1.9146115 &  63.84 &  Star &  gri &  13.44 &  13.67 &  13.51 &  99.0 &  99.0 &  99.0 &  99.0 &  PANSTARR &  Obj &  PANSTARR &  - &  0 &  0.0 &  354.8488159 &  -1.9146115 &  5930.44 &  37.61 &  4.12 &  0.039 &  -0.093 &  0.025 &  -9999.0 &  0.47 &  0.43 &  6.17 &  0.93 &  0 &  2.62 &  0.61 &  7.69 &  1.31 &  0 &  0.82 &  0.71 &  6.42 &  1.04 &  0 &  -0.3 &  0.83 &  6.85 &  0.94 &  1 &  -0.001 &  5832.24 &  4.209 &  -0.033 &  0.03817 &  0.15515 &  -9999.0 &  0.01171 &  -9999.0 &  0.02098 &  -9999.0 &  -0.00359 &  -9999.0 &  -9999.0 &  0.03895 &  -9999.0 &  2640836645687222784 &  13.070381& SPLUS-s02s23_000000760& 354.84881592& -1.91464102& 14.87307& 0.00600& 180.50000& 1.00& 14.48807& 0.00700& 154.71428& 1.00& 14.41307& 0.00900& 120.33334& 1.00& 13.89239& 0.00700& 154.71428& 1.00& 13.83339& 0.00700& 154.71428& 1.00& 13.54339& 0.00700& 154.71428& 1.00& 13.36439& 0.00600& 180.50000& 1.00& 13.09807& 0.00700& 154.71428& 1.00& 13.08907& 0.00800& 135.37500& 1.00& 12.96533& 0.00600& 180.50000& 1.00& 12.95712& 0.00700& 154.71428& 1.00& 12.95012& 0.00600& 180.50000& 1.00& -999
  589603005B &  589603005 &  J234304.04-010701.6 &  2017-09-29 &  58026 &  58025 &  HIP11715101 &  3 &  5 &  B &  355.76684 &  -1.1171343 &  91.46 &  Star &  gri &  13.38 &  13.44 &  13.04 &  99.0 &  99.0 &  99.0 &  99.0 &  PANSTARR &  Obj &  PANSTARR &  - &  0 &  0.0 &  355.7668371 &  -1.1171343 &  5199.33 &  65.71 &  3.74 &  0.061 &  -0.449 &  0.04 &  -9999.0 &  7.13 &  0.56 &  13.78 &  0.88 &  0 &  10.14 &  0.43 &  14.85 &  2.02 &  0 &  7.83 &  0.7 &  14.12 &  1.07 &  0 &  6.29 &  1.47 &  13.89 &  1.59 &  1 &  0.051 &  5129.13 &  3.397 &  -0.451 &  0.01758 &  -0.05728 &  -9999.0 &  0.08874 &  -9999.0 &  0.01796 &  -9999.0 &  0.09741 &  -9999.0 &  -9999.0 &  0.02972 &  -9999.0 &  2642488356965581312 &  12.850817& SPLUS-s02s24_000017169& 355.76684570& -1.11716843& 15.21299& 0.01200& 90.25000& 1.00& 14.83499& 0.00900& 120.33334& 1.00& 14.72799& 0.01300& 83.30769& 1.00& 14.11035& 0.01600& 67.68750& 1.00& 14.01635& 0.01800& 60.16667& 1.00& 13.49035& 0.01500& 72.20000& 1.00& 13.26735& 0.01300& 83.30769& 1.00& -999& -999& -999& -999& -999& -999& -999& -999& -999& -999& -999& -999& 12.56246& 0.01100& 98.45454& 1.00& -999& -999& -999& -999& -999
  589603006B &  589603006 &  J234206.70-010231.8 &  2017-09-29 &  58026 &  58025 &  HIP11715101 &  3 &  6 &  B &  355.52792 &  -1.0421699 &  93.72 &  Star &  gri &  13.7 &  13.76 &  13.05 &  99.0 &  99.0 &  99.0 &  99.0 &  PANSTARR &  Obj &  PANSTARR &  - &  0 &  0.0 &  355.5279243 &  -1.0421699 &  5168.41 &  65.25 &  3.744 &  0.06 &  -0.123 &  0.04 &  -9999.0 &  3.98 &  0.71 &  10.63 &  0.99 &  0 &  7.52 &  0.5 &  12.22 &  2.04 &  0 &  4.8 &  0.77 &  11.09 &  1.11 &  0 &  3.73 &  1.46 &  11.33 &  1.58 &  1 &  0.012 &  5197.15 &  3.673 &  -0.166 &  0.01389 &  0.04177 &  -9999.0 &  0.04586 &  -9999.0 &  -0.00632 &  -9999.0 &  0.04014 &  -9999.0 &  -9999.0 &  0.04143 &  -9999.0 &  2641003634015339904 &  12.67334& SPLUS-s02s24_000017149& 355.52783203& -1.04219866& -999& -999& -999& -999& 14.88259& 0.00800& 135.37500& 1.00& 14.69559& 0.01000& 108.30000& 1.00& 13.99569& 0.01400& 77.35714& 1.00& 13.86868& 0.01300& 83.30769& 1.00& 13.32628& 0.01200& 90.25000& 1.00& 13.10569& 0.01300& 83.30769& 1.00& -999& -999& -999& -999& -999& -999& -999& -999& -999& -999& -999& -999& 12.38345& 0.01300& 83.30769& 1.00& -999& -999& -999& -999& -999
  589603013B &  589603013 &  J234207.69-011227.8 &  2017-09-29 &  58026 &  58025 &  HIP11715101 &  3 &  13 &  B &  355.53208 &  -1.2077433 &  90.53 &  Star &  gri &  13.56 &  12.97 &  13.15 &  99.0 &  99.0 &  99.0 &  99.0 &  PANSTARR &  Obj &  PANSTARR &  - &  0 &  0.0 &  355.5320818 &  -1.2077433 &  5687.44 &  70.47 &  3.945 &  0.066 &  -0.016 &  0.043 &  -9999.0 &  -42.61 &  0.51 &  -35.96 &  0.86 &  0 &  -40.15 &  0.48 &  -35.45 &  2.04 &  0 &  -42.03 &  0.59 &  -35.74 &  0.99 &  0 &  -43.19 &  1.58 &  -35.59 &  1.69 &  1 &  0.019 &  5764.16 &  4.101 &  0.012 &  -0.01468 &  0.19485 &  -9999.0 &  0.04092 &  -9999.0 &  0.04061 &  -9999.0 &  -0.00892 &  -9999.0 &  -9999.0 &  0.03992 &  -9999.0 &  2640987798471680256 &  13.002045& SPLUS-s02s24_000017175& 355.53216553& -1.20772064& 14.98025& 0.00900& 120.33334& 1.00& 14.58651& 0.00800& 135.37500& 1.00& 14.48225& 0.01000& 108.30000& 1.00& 13.92462& 0.01300& 83.30769& 1.00& 13.83693& 0.01400& 77.35714& 1.00& 13.49263& 0.01100& 98.45454& 1.00& 13.29493& 0.01000& 108.30000& 1.00& -999& -999& -999& -999& -999& -999& -999& -999& -999& -999& -999& -999& 12.87653& 0.01200& 90.25000& 1.00& -999& -999& -999& -999& -999
  589603018B &  589603018 &  J234241.29-010818.0 &  2017-09-29 &  58026 &  58025 &  HIP11715101 &  3 &  18 &  B &  355.67205 &  -1.138338 &  58.42 &  Star &  gri &  14.29 &  13.78 &  13.67 &  99.0 &  99.0 &  99.0 &  99.0 &  PANSTARR &  Obj &  PANSTARR &  - &  0 &  0.0 &  355.6720509 &  -1.138338 &  5510.2 &  53.99 &  4.681 &  0.058 &  0.028 &  0.036 &  -9999.0 &  -31.17 &  0.79 &  -24.52 &  1.05 &  0 &  -28.79 &  0.69 &  -24.09 &  2.1 &  0 &  -30.61 &  0.94 &  -24.32 &  1.23 &  0 &  -31.64 &  1.18 &  -24.04 &  1.33 &  1 &  -0.004 &  5399.58 &  4.545 &  -0.077 &  -0.06872 &  -0.01818 &  -9999.0 &  0.01306 &  -9999.0 &  -0.03685 &  -9999.0 &  0.00898 &  -9999.0 &  -9999.0 &  -0.00594 &  -9999.0 &  2640987283075613568 &  13.824106& SPLUS-s02s24_000007577& 355.67202759& -1.13837779& 16.04484& 0.01400& 77.35714& 1.00& 15.74384& 0.01200& 90.25000& 1.00& 15.60284& 0.01300& 83.30769& 1.00& 14.97048& 0.01500& 72.20000& 1.00& 14.85648& 0.01700& 63.70588& 1.00& 14.39748& 0.01200& 90.25000& 1.00& 14.20048& 0.01300& 83.30769& 1.00& 13.81750& 0.01300& 83.30769& 1.00& 13.77250& 0.01500& 72.20000& 1.00& 14.07128& 0.02600& 41.65385& 1.00& 13.61773& 0.01600& 67.68750& 1.00& 13.58473& 0.03200& 33.84375& 1.00& -999
  589603023B &  589603023 &  J234211.67-010644.3 &  2017-09-29 &  58026 &  58025 &  HIP11715101 &  3 &  23 &  B &  355.54865 &  -1.112333 &  63.96 &  Star &  gri &  14.03 &  13.88 &  13.76 &  99.0 &  99.0 &  99.0 &  99.0 &  PANSTARR &  Obj &  PANSTARR &  - &  0 &  0.0 &  355.5486543 &  -1.112333 &  5716.39 &  46.22 &  4.358 &  0.048 &  0.0 &  0.031 &  -9999.0 &  34.39 &  0.64 &  41.04 &  0.94 &  0 &  36.55 &  0.7 &  41.25 &  2.1 &  0 &  34.9 &  0.77 &  41.19 &  1.11 &  0 &  33.61 &  1.02 &  41.21 &  1.19 &  1 &  0.002 &  5688.45 &  4.289 &  -0.024 &  -0.0044 &  -0.00667 &  -9999.0 &  0.01875 &  -9999.0 &  0.01541 &  -9999.0 &  0.01488 &  -9999.0 &  -9999.0 &  0.01065 &  -9999.0 &  2640990959567608960 &  13.642401& SPLUS-s02s24_000007268& 355.54867554& -1.11232793& -999& -999& -999& -999& 15.28974& 0.00900& 120.33334& 1.00& 15.17074& 0.01300& 83.30769& 1.00& 14.60195& 0.01400& 77.35714& 1.00& 14.51995& 0.01400& 77.35714& 1.00& 14.14395& 0.01100& 98.45454& 1.00& 13.95795& 0.01100& 98.45454& 1.00& 13.65035& 0.01200& 90.25000& 1.00& 13.61435& 0.01400& 77.35714& 1.00& 13.93773& 0.02700& 40.11111& 1.00& 13.48841& 0.01500& 72.20000& 1.00& 13.46041& 0.01500& 72.20000& 1.00& -999
  589603025B &  589603025 &  J234312.45-011023.0 &  2017-09-29 &  58026 &  58025 &  HIP11715101 &  3 &  25 &  B &  355.80191 &  -1.1730629 &  48.12 &  Star &  gri &  13.87 &  13.55 &  13.85 &  99.0 &  99.0 &  99.0 &  99.0 &  PANSTARR &  Obj &  PANSTARR &  - &  0 &  0.0 &  355.8019059 &  -1.1730629 &  5009.94 &  48.44 &  2.047 &  0.054 &  -1.982 &  0.033 &  33.318 &  -88.73 &  0.59 &  -82.08 &  0.9 &  0 &  -83.81 &  0.83 &  -79.11 &  2.14 &  0 &  -87.16 &  0.7 &  -80.87 &  1.06 &  0 &  -88.9 &  1.05 &  -81.3 &  1.21 &  1 &  0.239 &  5171.68 &  2.347 &  -1.653 &  -0.01953 &  0.35388 &  -9999.0 &  0.26169 &  -9999.0 &  0.2285 &  -9999.0 &  0.12015 &  -9999.0 &  -9999.0 &  0.02661 &  -9999.0 &  2642487223094215296 &  13.4773& SPLUS-s02s24_000014000& 355.80191040& -1.17307711& 15.40009& 0.01200& 90.25000& 1.00& 14.79109& 0.01000& 108.30000& 1.00& 14.72709& 0.01300& 83.30769& 1.00& 14.42095& 0.01700& 63.70588& 1.00& 14.31394& 0.01900& 57.00000& 1.00& 14.00795& 0.01500& 72.20000& 1.00& 13.80894& 0.01600& 67.68750& 1.00& 13.49658& 0.01300& 83.30769& 1.00& 13.44958& 0.01200& 90.25000& 1.00& 13.78896& 0.03300& 32.81818& 1.00& 13.26175& 0.01400& 77.35714& 1.00& 13.25575& 0.02000& 54.15000& 1.00& -999
  589603026B &  589603026 &  J234117.23-012340.6 &  2017-09-29 &  58026 &  58025 &  HIP11715101 &  3 &  26 &  B &  355.32183 &  -1.3946356 &  22.11 &  Star &  gri &  14.1 &  13.74 &  13.83 &  99.0 &  99.0 &  99.0 &  99.0 &  PANSTARR &  Obj &  PANSTARR &  - &  0 &  0.0 &  355.3218306 &  -1.3946356 &  5667.26 &  86.57 &  4.464 &  0.107 &  -0.179 &  0.064 &  -9999.0 &  3.29 &  1.47 &  9.94 &  1.62 &  0 &  4.07 &  1.95 &  8.78 &  2.78 &  0 &  3.22 &  1.33 &  9.51 &  1.55 &  0 &  3.14 &  1.75 &  10.74 &  1.85 &  1 &  0.007 &  5578.42 &  4.289 &  -0.163 &  -0.03283 &  0.08525 &  -9999.0 &  0.04399 &  -9999.0 &  0.00292 &  -9999.0 &  0.0419 &  -9999.0 &  -9999.0 &  0.00701 &  -9999.0 &  2640978830579955456 &  13.718034& SPLUS-s02s24_000005190& 355.32177734& -1.39466608& 15.71440& 0.01100& 98.45454& 1.00& 15.37840& 0.01000& 108.30000& 1.00& 15.26840& 0.01400& 77.35714& 1.00& 14.70295& 0.01300& 83.30769& 1.00& 14.62295& 0.01700& 63.70588& 1.00& 14.25795& 0.01000& 108.30000& 1.00& 14.05895& 0.01200& 90.25000& 1.00& 13.74726& 0.01300& 83.30769& 1.00& 13.70926& 0.01300& 83.30769& 1.00& 13.99169& 0.02500& 43.32000& 1.00& 13.57084& 0.01600& 67.68750& 1.00& 13.54084& 0.01200& 90.25000& 1.00& -999
